MMA, instructional or competition	Starting Position 	Type of technique	Technique name	Video source url	Tags	Fighters doing the technique	Fighter receiving the technique	GIF Link	GIF filename	Needs review? 
MMA	Standing	Takedown defense	Sprawl with hip punch and overhook	http://video.fight4free.com/wx/souzaboetschfightvideo.mp4	sprawl, double leg, single leg, takedown, defense, hip punch, overhook,	Tim Boetsch	Ronaldo Souza	https://media.giphy.com/media/oO4yFgnHYRQrk7YWQP/giphy.gif	animation (4).gif	
MMA	Guard (top)	Guard pass	Same side knee press and backstep guard pass	https://cf-e2.streamablevideo.com/video/mp4/2v606.mp4?token=1518607542-r8iuNQZGWj5Hd4NpXPBr3G1dwJY%2FNhi7tfZXKULm1BQ%3D	same side knee, guard pass, 	Ronaldo Souza	Chris Camozzi	https://media.giphy.com/media/2Y7jj3YBXnTx9nVd94/giphy.gif	animation (3).gif	NEEDS NAME REVIEW
MMA	Side control (top)	Submission	Kimura	http://video.fight4free.com/wx/souzaboetschfightvideo.mp4	kimura, North-south, step over the head, submission	Ronaldo Souza	Tim Boetsch	https://media.giphy.com/media/88i50DCNYxJ0fFYLQj/giphy.gif	animation (5).gif	
MMA	Guard (bottom)	Back take	Duck under punch to back take	https://ok.ru/video/1145440450	back take, arm across, duck under punch, punch defense, guard,	Diego Sanchez	Karo Parysian	https://media.giphy.com/media/MSCuR6LQXoO4X8J7ii/giphy.gif	animation (6).gif	
MMA	Butterfly guard (bottom)	Submission	butterfly guard to kneebar	https://ok.ru/video/1145440450	butterfly guard, elevation, kneebar	Diego Sanchez	Karo Parysian	https://media.giphy.com/media/5kFbZ5NHrbJV2s6xo1/giphy.gif	animation (7).gif	
MMA	Standing	Takedown defense	Grapevine single leg	https://ok.ru/video/42718071322	takedown defense, counter, single leg, grapevine, overhook, underhook,	Gunnar Nelson	Demian Maia	https://media.giphy.com/media/jwYqvrM6qjT5ZiGY6e/giphy.gif	animation (8).gif	NEEDS NAME REVIEW
MMA	Standing	Transition	pumelling for double underhook	https://ok.ru/video/42718071322	takedown, defense, position, control, double underhook,	Demian Maia	Gunnar Nelson	https://media.giphy.com/media/8Z8ZXraGNb33zzUSoM/giphy.gif	animation (9).gif	
MMA	Standing	Takedown	Single leg finish	https://ok.ru/video/42718071322	takedown, single leg finish	Demian Maia	Gunnar Nelson	https://media.giphy.com/media/33GbVmaXZCD9TWc0Le/giphy.gif	animation (10).gif	
MMA	Half guard (top)	Transition	Back step from half guard	https://ok.ru/video/42718071322	half guard, transition, backstep, advance in position,	Gunnar Nelson	Demian Maia	https://media.giphy.com/media/5nqwlAgYEQHAtYtdcu/giphy.gif	animation (11).gif	
MMA	Back control	Submission defense	Hitchhiker Armbar defense	https://ok.ru/video/42718071322	armbar defense, hitchhike, thumb sideways,	Gunnar Nelson	Demian Maia	https://media.giphy.com/media/1JS6YAJn7LjTy7ysyE/giphy.gif	animation (12).gif	
MMA	Standng	Takedown	Run the pipe single leg takedown finish	https://ok.ru/video/42718071322	takedown, single leg, run the pipe finish,	Demian Maia	Gunnar Nelson	https://media.giphy.com/media/TDLrUnKseKRAA3C3UZ/giphy.gif	animation (13).gif	
MMA	Back control	Submission	Armbar from the back	https://streamableseast.b-cdn.net/video/mp4/6s650.mp4?token=1519588035_5cd6400e303b0764db524ae44246673babc0ae5b	armbar from the back, double wrist control	Fabricio Werdum	Walt Harris	https://media.giphy.com/media/euMbHUJiaJVgUkGZTW/giphy.gif	animation (14).gif	
MMA	Guard (bottom)	Strike defense	Punch block protection	https://ok.ru/video/237810877787	punch block protection, touching the head, turn sideways, scoot the hips,	Nick Diaz	Diego Sanchez	https://media.giphy.com/media/1BeVCkbx2hqXVaWXc0/giphy.gif	animation (15).gif	
MMA	Turtle (bottom)	Guard recovery	Granby roll guard recovery	https://ok.ru/video/237810877787	granby roll, guard recovery, turtle,	Nick Diaz	Diego Sanchez	https://media.giphy.com/media/87jEr5j1yhFxDd4iDq/giphy.gif	animation (16).gif	
MMA	Back control	Back take	Back take prevention with underhook	https://ok.ru/video/237810877787	underhook, back take prevention, defense,	Nick Diaz	Diego Sanchez	https://media.giphy.com/media/8ZekU6Ob2x4xpSn0ta/giphy.gif	animation (17).gif	
MMA	Guard (bottom)	Strike defense	Guard clinch and punch protection	https://ok.ru/video/237810877787	punch protection, guard clinch,	Diego Sanchez	Nick Diaz	https://media.giphy.com/media/1BeVCkbx2hqXVaWXc0/giphy.gif	animation (18).gif	
MMA	Standing	Takedown defense	Single leg turn-away takedown defense	https://ok.ru/video/237810877787	single leg defense, pull leg away, turn away,	Nick Diaz	Diego Sanchez	https://media.giphy.com/media/KYWcr200MPOl2banpm/giphy.gif	animation (19).gif	NEEDS NAME REVIEW
MMA	Guard (top)	Control	Inside bicep control pumelling	http://www.dailymotion.com/video/x8bzt0	pumelling, inside bicep control,	Fedor Emelianenko	Heath Herring	https://media.giphy.com/media/fo2h9Rp8JXNXm7KfpS/giphy.gif	animation (20).gif	
MMA	Standing	Takedown	Ura nage underhook clinch back take and rear throw	http://www.dailymotion.com/video/x8bzt0	underhook, walk around to the back, back take, ura nage, rear throw,	Fedor Emelianenko	Heath Herring	https://media.giphy.com/media/KWg6ajLLANL7DvuA11/giphy.gif	animation (21).gif	
MMA	Standing	Takedown	Underhook clinch back take	http://www.dailymotion.com/video/x8bzt0	underhook, walk around to the back, back take,	Fedor Emelianenko	Heath Herring	https://media.giphy.com/media/ctk4wAlYnxtc2TkTr6/giphy.gif		
MMA	Standing	Takedown	Overhook uchi mata	https://ok.ru/video/7617514096	overhook, uchi mata, takedown, counter	Kazushi Sakuraba	Carlos Newton	https://media.giphy.com/media/5ngUPD6WnSbiivQegP/giphy.gif	animation (37).gif	
MMA	Side control (bottom)	Submission defense	back roll armbar escape	https://ok.ru/video/7617514096	armbar defense, escape, back roll,	Carlos Newton	Kazushi Sakuraba	https://media.giphy.com/media/PgQDlZjZKN3NyDptEy/giphy.gif	animation (90).gif	
MMA	Guard (top)	Submission	Toehold	https://ok.ru/video/7617514096	toehold, open guard, rolling,	Kazushi Sakuraba	Carlos Newton	https://media.giphy.com/media/wadxOLptPplF6RKSyO/giphy.gif	animation (39).gif	
MMA	Standing	Takedown	Tani otoshi sit down from the back	https://ok.ru/video/7617514096	takedown, back control, sit down, double underhooks, tani otoshi,	Carlos Newton	Kazushi Sakuraba	https://media.giphy.com/media/wJFJYTiBwN1q3y0fGo/giphy.gif	animation (40).gif	
MMA	Turtle (top)	Control	Crucifix when opponent grabs leg	https://ok.ru/video/7617514096?fromTime=4806	turtle, crucifix, takedown counter, leg grab,	Carlos Newton	Kazushi Sakuraba	https://media.giphy.com/media/fxBZSNzxVFCKhem2dA/giphy.gif	animation (75).gif	NEEDS NAME REVIEW
MMA	Standing	Control	Double overhooks counter to double underhooks	https://ok.ru/video/33627114010	double overhooks, double underhooks,counter, control, hip out,	Clay Guida	Benson Henderson	https://media.giphy.com/media/fLmxKifJrDRMFDiulD/giphy.gif	animation (41).gif	
MMA	Standing	Control	Pumelling for underhook	https://ok.ru/video/27839629850	underhook, pumelling, esgrima,	Nate Diaz	Benson Henderson	https://media.giphy.com/media/3s24UTli2G2r2LHWOy/giphy.gif	animation (42).gif	
MMA	Standing	Takedown	ko soto gari double underhooks outside trip	https://ok.ru/video/27839629850?fromTime=930	double underhooks, outside trip, ko soto gari,	Benson Henderson	Nate Diaz	https://media.giphy.com/media/t6mheKh4IFvEhssJ1H/giphy.gif	animation (76).gif	
MMA	Standing	Takedown	Double leg from punch slip	https://ok.ru/video/27839629850	punch slip, double leg, counter, takedown,	Benson Henderson	Nate Diaz	https://media.giphy.com/media/CjmvVQl3fbo3GCc8lW/giphy.gif	animation (43).gif	
MMA	Guard (standing) 	Control	How to approach opponent on the floor from standing	https://ok.ru/video/27839629850	approach, guard, standing, floor, protection,	Benson Henderson	Nate Diaz	https://media.giphy.com/media/7YDdavv7wAZWb9rrOA/giphy.gif	animation (44).gif	
MMA	Back control	Escape 	Back to the floor back control escape 	https://ok.ru/video/27839629850	back control, escape, back against the floor,	Nate Diaz	Benson Henderson	https://media.giphy.com/media/MogALIRLJyRlhaIEc2/giphy.gif	animation (45).gif	
MMA	Standing	Takedown	High crotch	https://ok.ru/video/27839629850	high crotch, double underhooks, back control, standing, takedown,	Benson Henderson	Nate Diaz	https://media.giphy.com/media/ipMi0CWF41Vgyb9YXd/giphy.gif	animation (46).gif	
MMA	Standing	Takedown defense	Sprawl	https://ok.ru/video/243873876721	sprawl, defense, hips down, takedown, double leg	Nate Diaz	Conor Mcgregor	https://media.giphy.com/media/SGXUlfa0WZKlOy5y82/giphy.gif	animation (47).gif	
MMA	Side control	Transition	Leg weave to dope mount	https://ok.ru/video/13696242166?fromTime=505	leg weave, dope mount, side control, transition,	Conor Mcgregor	Dennis Siver	https://media.giphy.com/media/sRIY1ypvJvYzQ1Gw4Q/giphy.gif	animation (48).gif	
MMA	Half guard	Submission	armbar counter to kimura	https://ok.ru/video/15975451162?fromTime=468	kimura counter, spinning armbar,	Matt Hughes	George St Pierre	https://media.giphy.com/media/pOqeFQvkjYVbSeiJ0I/giphy.gif	animation (49).gif	
MMA	Side control	Submission	armbar counter to kimura	https://ok.ru/video/15975451162?fromTime=468	kimura counter, spinning armbar,	Matt Hughes	George St Pierre	https://media.giphy.com/media/pOqeFQvkjYVbSeiJ0I/giphy.gif	animation (49).gif	
MMA	Mount (top)	Submission	Mount to back control rear naked choke with gnp	https://ok.ru/video/243873876721?fromTime=1414	ground and pound, mount, back control, rear naked choke, RNC,	Nate Diaz	Conor Mcgregor	https://media.giphy.com/media/3pZij7nyG2jtQeX5R8/giphy.gif	animation (50).gif	
MMA	Standing	Takedown	ko soto gari outside trip	https://ok.ru/video/217989450377?fromTime=237	outside trip, ko soto gari, takedown, feint,	TJ Dillashaw	John Lineker	https://media.giphy.com/media/1mgP2K0FKIPDspGy4A/giphy.gif	animation (51).gif	
MMA	Standing	Takedown	Double leg from straight right duck in opposite stance	https://ok.ru/video/217989450377?fromTime=981	double leg, southpaw, straight right, duck	TJ Dillashaw	John Lineker	https://media.giphy.com/media/2UwFZbxGQ1r5XimB7A/giphy.gif	animation (52).gif	
MMA	Turtle (top)	Submission	Calf slicer	https://ok.ru/video/217989450377?fromTime=1063	calf slicer, truck, turtle, rolling,	TJ Dillashaw	John Lineker	https://media.giphy.com/media/9xapkW9ZxqdVxDHYjT/giphy.gif	animation (53).gif	
MMA	Mount (bottom)	Submission	Backdoor mount escape to heel hook	https://ok.ru/video/29386410522?fromTime=589	heel hook, mount escape, backdoor, feet on the armpits, heel hook,	Brian Ortega	Renato Tavares	https://media.giphy.com/media/1AHD16j3Dvhj2skm0y/giphy.gif	animation (54).gif	
MMA	Mount (bottom)	Escape 	Backdoor mount escape to heel hook	https://ok.ru/video/29386410522?fromTime=589	heel hook, mount escape, backdoor, feet on the armpits, heel hook,	Brian Ortega	Renato Tavares	https://media.giphy.com/media/1AHD16j3Dvhj2skm0y/giphy.gif	animation (54).gif	
MMA	Guard (bottom)	Submission	Triangle	https://ok.ru/video/29386410522?fromTime=661	triangle, guard, holding wrist, leg over arm, one arm in one arm out,	Brian Ortega	Renato Tavares	https://media.giphy.com/media/1xp1uZYwSaZYUy8Jgz/giphy.gif	animation (55).gif	
MMA	Guard (bottom)	Submission	armbar	https://ok.ru/video/29386410522?fromTime=160	armbar, bottom guard, punch block, elbows, sweep,	Brian Ortega	Renato Tavares	https://media.giphy.com/media/63LXyfv9MD4zlZjdDM/giphy.gif	animation (56).gif	
MMA	Guard (bottom)	Submission	Guillotine (arm in) from double leg counter	https://ok.ru/video/330150056283?fromTime=1099	guillotine, posture, guillotine,	Fabricio Werdum	Cain Velazquez	https://media.giphy.com/media/cAvfU6GA4CrY6DOEFi/giphy.gif	animation (57).gif	
MMA	Standing	Submission	Guillotine (arm in) from double leg counter	https://ok.ru/video/330150056283?fromTime=1099	guillotine, posture, guillotine,	Fabricio Werdum	Cain Velazquez	https://media.giphy.com/media/cAvfU6GA4CrY6DOEFi/giphy.gif	animation (57).gif	
MMA	Standing	Takedown	Single leg with ouchi gake leg reap finish	https://ok.ru/video/418140195477?fromTime=1442	takedown, small inside reap, ko uchi gari, single leg,	Fabricio Werdum	Marcin Tybura	https://media.giphy.com/media/9S1IBT2i47uE2di1Be/giphy.gif	animation (58).gif	NEEDS NAME REVIEW
MMA	Back control	Control	Wrist control from the back	https://ok.ru/video/8540325332?fromTime=188	wrist control, from the back, back control, 	Fabricio Werdum	Roy Nelson	https://media.giphy.com/media/jIhiC2qHidYbXuAHIu/giphy.gif	animation (59).gif	
MMA	Guard (bottom)	Transition 	Closing guard versus standing opponent 	https://ok.ru/video/8540325332?fromTime=422	closing guard, standing opponent,	Fabricio Werdum	Roy Nelson	https://media.giphy.com/media/RIFZWysrkl4YLCBnix/giphy.gif	animation (60).gif	
MMA	Guard (bottom)	Control	Closing guard versus standing opponent 	https://ok.ru/video/8540325332?fromTime=422	closing guard, standing opponent,	Fabricio Werdum	Roy Nelson	https://media.giphy.com/media/RIFZWysrkl4YLCBnix/giphy.gif	animation (60).gif	
MMA	Guard (bottom)	Submission	armbar versus standing punching opponent	https://ok.ru/video/8540325332?fromTime=423	closing guard, standing opponent,	Fabricio Werdum	Roy Nelson	https://media.giphy.com/media/1vZ8VKo2cTFrQWf3hY/giphy.gif	animation (61).gif	
MMA	Guard (bottom)	Control	Distance keeping and technical stand up	https://ok.ru/video/8540325332?fromTime=447	bottom, open guard, distance keeping, kicking the knee, technical stand up,	Fabricio Werdum	Roy Nelson	https://media.giphy.com/media/1FvR4Vulz2A841EE3E/giphy.gif	animation (62).gif	
MMA	Half guard (bottom)	Transition	half guard to deep half	https://ok.ru/video/363352822025?fromTime=279	deep half, half guard, back door exit,	Antonio Nogueira	Fabricio Werdum	https://media.giphy.com/media/2SXRjZo35tdxbsfAmN/giphy.gif	animation (63).gif	
MMA	Turtle (top)	Submission	belly down armbar from top turtle	https://ok.ru/video/363352822025?fromTime=646	belly down armbar	Fabricio Werdum	Antonio Nogueira	https://media.giphy.com/media/8rE4cgPBbX6DvqqOIm/giphy.gif	animation (64).gif	
MMA	Half guard (bottom)	Transition	Half guard to closed guard	https://ok.ru/video/18913692186?fromTime=488	half guard, closed guard, push knee, switch legs,	Fabricio Werdum	Mark Hunt	https://media.giphy.com/media/YkXMXy4rZHKtrXCtPY/giphy.gif	animation (65).gif	
MMA	Back control	Submission	Twister	https://youtu.be/Fk2J8_M094g?t=20	twister, back control, neck crank,	Chang Sung Jung	Leonard Garcia	https://media.giphy.com/media/CjsHyFza31Nc7khObv/giphy.gif	animation (77).gif	
MMA	Standing	Takedown	Double leg	https://ok.ru/video/191457659398?fromTime=234	mighty mouse, guillotine defense, pass to side control, 100kg, jump, cartwheel, double leg, takedown,	Demetrious Johnson	Tim Elliott	https://media.giphy.com/media/OQ7WINhZQNBWHsfPAC/giphy.gif	animation (66).gif	
MMA	Guard (top)	Submission defense	Guillotine defense by passing to side control	https://ok.ru/video/191457659398?fromTime=234	mighty mouse, guillotine defense, pass to side control, 100kg, jump, cartwheel, double leg, takedown,	Demetrious Johnson	Tim Elliott	https://media.giphy.com/media/OQ7WINhZQNBWHsfPAC/giphy.gif	animation (66).gif	
MMA	Guard (bottom)	Submission	Straight armlock from recovering guard	https://ok.ru/video/191457659398?fromTime=234	mighty mouse, armlock, reverse, straight armbar, ear to shoulder, head trap, forearm pushing against elbow, marcelo garcia sweep style armbar, 	Tim Elliott	Demetrious Johnson	https://media.giphy.com/media/8m507X2ji8s1fZvqXX/giphy.gif	animation (67).gif	
MMA	Side control	Submission	armbar counter to kimura	https://ok.ru/video/191457659398?fromTime=240	armbar counter to kimura, mighty mouse,	Demetrious Johnson	Tim Elliott	https://media.giphy.com/media/31WXyWT4XzGGQUQJgs/giphy.gif	animation (68).gif	
MMA	Guard (top)	Submission defense	Arm in guillotine defense by turning over with back against the floor	https://ok.ru/video/191457659398?fromTime=285	arm in guillotine defense, back to the mat, back to the floor, roll over	Demetrious Johnson	Tim Elliott	https://media.giphy.com/media/3eRqsWWIlkMhELTcx9/giphy.gif	animation (70).gif	
MMA	Side control (top)	Transition	Guillotine to darce choke	https://ok.ru/video/191457659398?fromTime=285	arm in guillotine defense, back to the mat, back to the floor, roll over, defense counter, darce choke,	Demetrious Johnson	Tim Elliott	https://media.giphy.com/media/ce1KvZpIJ9gvygffJ7/giphy.gif	animation (69).gif	
MMA	Side control (top)	Submission	Guillotine to darce choke	https://ok.ru/video/191457659398?fromTime=285	arm in guillotine defense, back to the mat, back to the floor, roll over, defense counter, darce choke,	Demetrious Johnson	Tim Elliott	https://media.giphy.com/media/ce1KvZpIJ9gvygffJ7/giphy.gif	animation (69).gif	
MMA	Standing	Takedown	Single leg from ducking a hook	https://ok.ru/video/191457659398?fromTime=443	single leg, duck, cross, jab,	Demetrious Johnson	Tim Elliott	https://media.giphy.com/media/ZgQai7MrUOxsN5TddX/giphy.gif	animation (71).gif	
MMA	Standing	Takedown	Double leg off a jab faint	https://ok.ru/video/191457659398?fromTime=1449	double leg, jab, head to the ribs, looking up, posture, side control,	Demetrious Johnson	Tim Elliott	https://media.giphy.com/media/QOykykkmVm5H5moCjD/giphy.gif	animation (72).gif	
MMA	Standing	Takedown	Ushiro goshi reverse hip throw	https://ok.ru/video/187639073302?fromTime=1149	reverse hip throw, two on one, back take, back control, double underhooks, ushiro goshi,	Demetrious Johnson	John Moraga	https://media.giphy.com/media/Wv7Aqb3u5eRuNaqGOV/giphy.gif	animation (73).gif	
MMA	Turtle (bottom) 	Submission defense	two on one choke defense	https://ok.ru/video/187639073302?fromTime=1149	rear naked choke, RNC, choke defense, double wrist control, two on one, 	John Moraga	Demetrious Johnson	https://media.giphy.com/media/4ac7nsf2bwa9Dcga4K/giphy.gif	animation (74).gif	
MMA	Guard (bottom)	Submission	Omoplata	https://youtu.be/5uqgP2E9oUg?t=58	omoplata, triangle defense counter, transition	Ben Saunders	Chris Heatherly	https://media.giphy.com/media/1APcnmwRJ9MjmvzklK/giphy.gif	animation (78).gif	
MMA	Turtle (top)	Submission	Peruvian necktie	https://youtu.be/5uqgP2E9oUg?t=83	peruvian necktie, top turtle, legs over the head and back,	CB Dolloway	Jesse Taylor	https://media.giphy.com/media/SL8GbyUwQWqt3SC8I6/giphy.gif	animation (79).gif	
MMA	Half guard (top)	Guard pass	Half guard pass	http://www.dailymotion.com/video/x3w3n16	half guard pass, leg trap, leg hook, underhook,	Mark Bocek	Dustin Hazelett	https://media.giphy.com/media/pzcEdkLmTZD6ZA3Fao/giphy.gif	animation (80).gif	
MMA	Standing	Takedown	Kani basami leg scissor takedown	https://ok.ru/video/89059887642?fromTime=1073	kani basami, leg scissor, takedown	Joe Lauzon	Jim Miller	https://media.giphy.com/media/yxidJ5fZU8h9GKWyvu/giphy.gif	animation (81).gif	
MMA	Standing	Takedown	Overhook o-guruma	https://15-lvl3-pdl.vimeocdn.com/01/180/1/25901262/57283940.mp4?expires=1519729314&token=0c99691698feae674338a	o guruma, big wheel, overhook, far side leg and hip trip, counter to double underhook, overhook,	Charles Oliveira	Nik Lentz	https://media.giphy.com/media/8rEk7DDkTywoTSJ8TL/giphy.gif	animation (82).gif	NEED NAME REVIEW
MMA	Mount	Submission	Armbar from mount to bellydown to rollover	https://ok.ru/video/24718805513?fromTime=1100	roll over, grab the leg, armbar from mount, belly down armbar,	Shinya Aoki	Koji Ando	https://media.giphy.com/media/g0EEIezXquqQP2LPnj/giphy.gif	animation (83).gif	
MMA	Mount	Transition	Armbar from mount to bellydown to rollover	https://ok.ru/video/24718805513?fromTime=1100	roll over, grab the leg, armbar from mount, belly down armbar,	Shinya Aoki	Koji Ando	https://media.giphy.com/media/g0EEIezXquqQP2LPnj/giphy.gif	animation (83).gif	
MMA	Standing	Transition	Guard jump	https://ok.ru/video/422849219221?fromTime=250	jump to guard, guard pull,	Shinya Aoki	Ben Askren	https://media.giphy.com/media/cI9T4FtNgOFKeEkE8X/giphy.gif	animation (84).gif	
MMA	Guard	Submission	Triangle from guard	https://youtu.be/k4spyy0HrM8?t=311	triangle, guard, holding wrist, leg over arm, one arm in one arm out,	Kron Gracie	Asen Yamamoto	https://media.giphy.com/media/4H7riUKZ3bSnwACBzS/giphy.gif	animation (85).gif	
Instructional	Mount	Submission	s mount armbar		s mount, s-mount, armbar,	Unknown	Unknown	https://media.giphy.com/media/9x8Af5lUcIJEOxBIS6/giphy.gif		
Instructional	Mount	Submission defense	hitchiker armbar escape	https://youtu.be/ZAx_oDrGZAQ?t=50	hitchhiker, autostop, armbar escape, bridge up, spin, come out the back,	Dean Lister	Unknown	https://media.giphy.com/media/jUYhYEwLuoEe9TQALH/giphy.gif		
Instructional	Mount	Submission defense	armbar escape pushing lower leg to half guard	https://youtu.be/u-ZH5SQODBg?t=83	armbar escape, half guard, lower leg, push between legs,	Kenneth Brown	Unknown	https://media.giphy.com/media/xFoPlbGvQImUq5bxiN/giphy.gif		
Instructional	Mount	Submission defense	armbar escape removing top leg	https://www.youtube.com/watch?v=4Dsk8LI-WO0&feature=youtu.be&t=111	pillow, top leg, armbar escape,	Stephan Kestling 	Unknown	https://media.giphy.com/media/5ZXzX1zAj38mJZkUKn/giphy.gif	animation (89).gif	
Instructional	Standing	Takedown	double leg	https://www.youtube.com/watch?v=-R9o-u4Ygj4	double leg, ear to the ribs, lateral movement, hands behind the knees, jab feint, level change, lower level, knees off the floor,	Dan Henderson	Unknown	https://media.giphy.com/media/bElIQHBt9MZSuu87Wn/giphy.gif	animation (88).gif	
